ITEMID	CONFIGID	STOCK	FECHAPROX
49441583	7611	1	14/03/2020
494634R01		10	
494745		35	16/03/2020
495663		71	
495703		27	04/07/2020
495872		23	14/03/2020
496503		4	17/07/2020
496640		5	17/07/2020
496851		33	04/07/2020
496925		9	14/03/2020
497751		28	04/07/2020
5001		185	
50011		765	
5003		222	04/07/2020
5003S		20	
5004		829	04/07/2020
50061S		11	
50069		235	04/07/2020
50069S		9	
5008			
50089		276	04/07/2020
5008S		4	
50121		408	04/07/2020
50121S		2	
50161		162	
5017		178	04/07/2020
50179		1309	12/06/2020
5017S		2	
50212		1798	12/06/2020
50213		1364	04/07/2020
50215		1290	01/05/2020
50229		488	04/07/2020
5031		0	14/03/2020
5031S		3	
5033		28	04/07/2020
5033S			
506514		81	04/07/2020
506514R01		104	
506514R02		112	
506625		7	16/03/2020
506625UK		10	
506736		109	04/07/2020
506847		93	14/03/2020
507039		47	04/07/2020
507039R01		5	04/07/2020
507130		13	24/04/2020
507413		23	24/04/2020
507413R01		7	04/07/2020
507514		29	01/05/2020
507514R01		28	04/07/2020
507514R02		5	
507818		14	14/06/2019
507818UK		18	
507939		22	14/03/2020
507939D			04/07/2020
508030		38	14/03/2020
508030D			04/07/2020
508111		42	01/05/2020
508111D			04/07/2020
508111R01		5	
508111R02		68	
508111R03		71	
508111R04		1	
508111R05		41	
508222		30	26/06/2020
508222R01		12	
508222UK		37	
508323		3	14/03/2020
508323R01		2	04/07/2020
508424		23	14/03/2020
508424UK		51	
508516		27	14/03/2020
508516R01		9	
508516UK		67	
508718		75	14/03/2020
508718D			04/07/2020
508931UK		3	
509010		14	14/03/2020
509010R01		12	
509213		49	14/03/2020
509327		89	16/03/2020
514223R01		10	04/07/2020
514223R02		10	04/07/2020
514223UKR03		20	
514234UKR03		41	
514390		106	
514390UK		110	
514390UKR01		45	
518394		2	14/03/2020
520783		11	29/02/2020
520783D		0	04/07/2020
520783R01		48	04/07/2020
527021B2/2		18	
531973		45	04/07/2020
532115		2	24/04/2020
532906		18	17/07/2020
535190		25	
539764		27	04/07/2020
541450		11	14/03/2020
541450D		0	04/07/2020
541450R01		2	
541461R01		8	
541528		38	31/03/2020
541870R01		8	04/07/2020
541882R01		14	
542013		9	14/03/2020
542013D			04/07/2020
542013R01		8	04/07/2020
549221		282	04/07/2020
549221R01		36	04/07/2020
549221UK		287	04/07/2020
549234		104	04/07/2020
549234R01		61	04/07/2020
549234UK		111	04/07/2020
549234UKR02		64	04/07/2020
552097		30	04/07/2020
552141		17	04/07/2020
552283		17	13/03/2020
552431		58	04/07/2020
552522		3	13/03/2020
552672		46	29/05/2020
552758		97	01/05/2020
552758UK		130	
552758UKR01		50	04/07/2020
552764		179	10/07/2020
552933		20	13/03/2020
553095		14	29/05/2020
553106		19	29/05/2020
553218		64	04/07/2020
553229		90	04/07/2020
553347		28	04/07/2020
553350		30	04/07/2020
553472		23	04/07/2020
553486		40	04/07/2020
553602		31	04/07/2020
553616		8	04/07/2020
563958		8	
564803		29	01/05/2020
564803R01		0	04/07/2020
564916		26	14/03/2020
568672		17	04/07/2020
569120		24	15/05/2020
569529		20	25/05/2020
570R01		21	04/07/2020
571034G9		12	08/05/2020
571631R01		5	04/07/2020
571914R01		107	04/07/2020
571R01		17	04/07/2020
572R01		24	04/07/2020
579814G9		10	04/07/2020
579814G9D			04/07/2020
579930G9		0	14/03/2020
579930G9D			04/07/2020
580833		89	04/07/2020
580919		0	01/05/2020
580919UK		0	
580925UK		0	
580925UKR02		2	04/07/2020
580931		2	
580944		194	04/07/2020
580944UK		194	04/07/2020
584102		38	24/04/2020
584102R01		92	
584214		0	15/03/2020
584326		12	14/03/2020
584438		24	17/04/2020
584438D		4	14/03/2020
584541		8	14/03/2020
584541D		11	26/06/2020
584659		13	01/05/2020
586107		49	29/03/2020
586911		40	
586911UK		46	
586923		34	04/07/2020
586923UK		35	04/07/2020
