idoxatis;sku;nombre;stock;pvpventa;proveedor;ean;pvprecomendado;visible
19315379;75105+75106;Aplique de exterior blanco o gris. LED. Serie Yak. FARO.;0;;FARO;;;0
19315545;74411;Baliza gris LED. 66 cm. Serie Klamp. FARO.;25;9560;FARO;8421776011007;158;0
19320760;74427+74437;Colgante exterior LED. 18 o 25 cm. Moon. FARO.;20;395200;FARO;;52;0
19325687;74435+74430;Farola exterior LED. 2, o 3 L. Serie Blub-s. FARO.;20;2632600;FARO;;346,4;0
19325715;74427+74430;Colgante de exterior LED. Aluminio gris. Blub-s. FARO.;20;495500;FARO;;65,19;0
19325750;74432+74429;Aplique de exterior gris. LED. Serie Muffin. FARO.;20;551500;FARO;;72,5;0
19325770;74427+74429;Colgante de exterior LED. Aluminio gris. Muffin. FARO.;20;454600;FARO;;59,8;0
19326543;74432+74428;Aplique de exterior gris.LED. Serie Mistu. FARO.;20;440000;FARO;;57,88;0
19332383;70753;Baliza 65 cm. Gris o marrón. Serie Agra. FARO.;25;11790;FARO;8421776023970;194,8;1
19332401;70756;Baliza 20 cm. Gris o marrón. Serie Agra. FARO.;25;8580;FARO;8421776034327;141,8;1
19350425;74435+74438;Farola exterior LED 2 o 3 Luces serie Moon. FARO.;10;2490000;FARO;;327,6;0
19353515;74435+74429;Farola exterior LED. 2 o 3 L. Serie Muffin. FARO.;20;2550000;FARO;;335,6;0
19463187;75519;Baliza LED. 2 tamaños: 30, o, 65 cm. Serie Das. FARO.;25;7840;FARO;8421776065352;129,5;1
19463735;70767;Baliza exterior gris. LED. 27 o 65 cm. Serie Giza. FARO.;25;8900;FARO;8421776078116;147,1;1
19470787;73460;Baliza exterior 2 tamaños serie Naya. FARO.;0;6400;FARO;8421776734609;105,7;0
23934032;71568;Colgante Hue FARO. Colgante de exterior.;25;10650;FARO;8421776118973;176;0
23934165;71567;Lampara de pie Hue FARO. Iluminacion de exterior IP65;25;20880;FARO;8421776118966;345,05;0
23934228;71213+71214;Balizas Bu-oh! FARO. Iluminacion de exterior IP65;20;;FARO;;;0
25082116;33486;Kit de luz LED de ventilador Winche cromo - FARO;30;5600;FARO;;92,7;1
26037701;71195;Aplique Bronx Faro. Iluminacion de Exterior. Blanco;25;2440;FARO;8421776144583;48,6;1
26037705;71538;Aplique Tone Faro Blanco. Iluminacion de Exterior.;25;7860;FARO;8421776116115;143,7;1
26037706;71536;Aplique Half Faro blanco. Iluminacion de Exterior.;25;7860;FARO;8421776088139;143,7;1
26037710;71215;Aplique Bu-oh Faro Blanco. Iluminacion de Exterior. 71215;25;8720;FARO;8421776118461;144;1
26037711;75540;Aplique Sticker Faro. Iluminacion de Exterior LED.;25;9170;FARO;8421776118393;151,5;1
26037712;71519;Aplique View Faro. Iluminacion de Exterior;25;3240;FARO;8421776078925;53,5;1
26037733;71516;Aplique Future Faro. Iluminacion de Exterior. Blanco o gris.;25;3240;FARO;8421776022379;53,5;1
26043561;75533;Aplique Tram Faro Blanco. Iluminacion de Exterior.;25;4150;FARO;8421776088993;79;1
26057987;71539;Aplique Tone Faro Gris. Iluminacion de Exterior.;25;7860;FARO;8421776116122;143,7;1
26058126;71537;Aplique Half Faro gris. Iluminacion de Exterior.;25;7860;FARO;8421776088146;143,7;1
26058666;75529;Aplique Tram Faro Gris. Iluminacion de Exterior.;25;4150;FARO;8421776088542;79;1
26059578;74400;Aplique Proa Faro Gris Oscuro. Iluminación de Exterior.;0;2660;FARO;8421776744004;43,9;1
26127639;71194;Aplique Bronx Faro. Iluminacion de Exterior. Marron;25;2440;FARO;8421776146037;48,6;1
26127647;71196;Aplique Bronx Faro. Iluminacion de Exterior. Gris;25;2440;FARO;8421776144590;48,6;1
26127651;71212;Aplique Bu-oh Faro Gris. Iluminacion de Exterior.;25;8720;FARO;8421776116139;144;1
26127663;75536;Aplique Shelby Faro. Iluminacion de Exterior LED.;30;9420;FARO;8421776089020;155,6;1
