Family|Reference|Descripition|UnitWeight| UnitLength|UnitHigh|UnitWidth|Dimiter| ExportHigh|ExportWidth|ExportLenght|ExportWeight|ExportVolume|IndividualBoxHigh|IndividualBoxWiidth|IndividualBoxLengh| IndividualBoxVolume|IndividualBoxWeight|IP|ElectricClass|BulbIncluded|BulbDescription|Driver/ballst/transformer_Included |Driver/Transformer/Ballast_Description|Material|Quantity|PVP|Barcode|CustumDutyCode
4         |43500               |STONE-1  APLIQUE ORIENTABLE 1 X GU10 LED 8W                                                         |,7000|130,000000|160,000000|90,000000|,000000|,000000|,000000|,000000|,000000|,000000|175,000000|135,000000|190,000000|,004489|,700000|20                       |I   |0|1 X GU10 LED MAX 8 W                                                                                |0||CUERPO DE METAL Y CEMENTO                                                                           |Available|49,900000|8421776145887                 |9405109890          
4         |43501               |STONE-2  APLIQUE ORIENTABLE 2 X GU10 LED 8W                                                         |1,8000|280,000000|135,000000|130,000000|,000000|,000000|,000000|,000000|,000000|,000000|175,000000|130,000000|350,000000|,007963|1,800000|20                       |I   |0|2 X GU10 LED MAX 8 W                                                                                |0||CUERPO DE METAL Y CEMENTO                                                                           |Available|99,900000|8421776145894                 |9405109890          
4         |43502               |STONE-3 APLIQUE ORIENTABLE 3 X GU10 LED 8W                                                          |3,0000|480,000000|135,000000|150,000000|,000000|,000000|,000000|,000000|,000000|,000000|175,000000|135,000000|545,000000|,012876|3,000000|20                       |I   |0|3 X GU10 LED MAX 8W                                                                                 |0||CUERPO DE METAL Y CEMENTO                                                                           |Available|149,900000|8421776145900                 |9405109890          
4         |43520               |ORLEANS APLIQUE BLANCO 1L GU10                                                                      |,4800|150,000000|200,000000|120,000000|,000000|475,000000|340,000000|505,000000|6,880000|,081558|220,000000|160,000000|160,000000|,005632|,490000|20                       |I   |0|1XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|45,900000|8421776146525                 |9405109890          
4         |43521               |ORLEANS APLIQUE NEGRO 1L GU10                                                                       |,4800|150,000000|200,000000|120,000000|,000000|465,000000|380,000000|565,000000|,000000|,099836|215,000000|180,000000|180,000000|,006966|,000000||I   |0|1XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|45,900000|8421776146532                 |9405109890          
4         |43522               |ORLEANS APLIQUE CROMO 1L GU10                                                                       |,4800|150,000000|200,000000|120,000000|,000000|475,000000|340,000000|505,000000|6,880000|,081558|220,000000|160,000000|160,000000|,005632|,490000||I   |0|1XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|48,900000|8421776146549                 |9405109890          
4         |43523               |ORLEANS APLIQUE BLANCO 2XGU10                                                                       |,9700|380,000000|100,000000|175,000000|,000000|475,000000|385,000000|455,000000|6,880000|,083208|435,000000|120,000000|220,000000|,011484|,980000||I   |0|2XGU10 MAX 8W LED                                                                                   |0||CUERPO DE METAL                                                                                     |Available|75,800000|8421776146648                 |9405109890          
4         |43524               |ORLEANS APLIQUE NEGRO 2XGU10                                                                        |,9700|380,000000|100,000000|175,000000|,000000|460,000000|440,000000|440,000000|,000000|,089056|430,000000|125,000000|210,000000|,011288|,000000||I   |0|2XGU10 MAX 8W LED                                                                                   |0||CUERPO DE METAL                                                                                     |Available|75,800000|8421776146655                 |9405109890          
4         |43525               |ORLEANS APLIQUE CROMO 2XGU10                                                                        |,9700|380,000000|100,000000|175,000000|,000000|475,000000|385,000000|455,000000|6,880000|,083208|435,000000|120,000000|220,000000|,011484|,980000||I   |0|2XGU10 MAX 8W LED                                                                                   |0||CUERPO DE METAL                                                                                     |Available|80,500000|8421776146662                 |9405109890          
4         |43526               |ORLEANS APLIQUE BLANCO 3XGU10                                                                       |1,5900|585,000000|120,000000|170,000000|,000000|475,000000|385,000000|665,000000|9,600000|,121612|645,000000|120,000000|220,000000|,017028|1,450000||I   |0|3XGU10 MAX 8W LED                                                                                   |0||CUERPO DE METAL                                                                                     |Available|107,000000|8421776146679                 |9405109890          
4         |43527               |ORLEANS APLIQUE NEGRO 3XGU10                                                                        |1,5900|585,000000|170,000000|120,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000|,000000||I   |0|3 X GU10 LED MAX 8W                                                                                 |0||CUERPO DE METAL                                                                                     |Available|107,000000|8421776146686                 |9405109890          
4         |43528               |ORLEANS APLIQUE CROMO 3XGU10                                                                        |1,5900|585,000000|170,000000|120,000000|,000000|475,000000|385,000000|665,000000|9,600000|,121612|645,000000|120,000000|220,000000|,017028|1,450000||I   |0|3XGU10 MAX 8W LED                                                                                   |0||CUERPO DE METAL                                                                                     |Available|113,000000|8421776146693                 |9405109890          
4         |43529               |ORLEANS PLAFON BLANCO 1L GU10                                                                       |,5200|,000000|210,000000|120,000000|120,000000|485,000000|350,000000|580,000000|6,810000|,098455|225,000000|165,000000|185,000000|,006868|,535000||I   |0|1XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|42,900000|8421776146587                 |9405109890          
4         |43530               |ORLEANS PLAFON NEGRO 1L GU10                                                                        |,5200|,000000|210,000000|120,000000|120,000000|550,000000|420,000000|565,000000|,000000|,130515|260,000000|180,000000|200,000000|,009360|,000000||I   |0|1XGU10 MAX. 8W LED                                                                                  |0||CUERPO DE METAL                                                                                     |Available|42,900000|8421776146594                 |9405109890          
