CODE;DESCRIPTION;EAN;STOCK;ETA;ESTIMATED STOCK;ERROR;
366120;EMP LED HOLE CUA WH 12-865-827;8426107006752;150;;;;
366121;EMP LED HOLE CUA NK 12-865-827;8426107006769;150;;;;
366122;EMP LED HOLE CUA WH 12-955-855;8426107006776;150;;;;
366123;EMP LED HOLE CUA NK 12-955-855;8426107006783;150;;;;
366124;EMP LED HOLE CUA WH 18-1500-840;8426107006790;100;;;;
366125;EMP LED HOLE CUA NK 18-1500-840;8426107006806;150;;;;
366126;EMP LED HOLE CUA WH 18-1425-827;8426107006813;150;;;;
366127;EMP LED HOLE CUA NK 18-1425-827;8426107006820;150;;;;
366128;EMP LED HOLE CUA BL 18-1625-855;8426107006837;44;;;;
366129;EMP LED HOLE CUA NK 18-1625-855;8426107006844;150;;;;
366211;PANEL EMP 6W BL RED 450LU 120mm 4000K;8426107446695;16;;;;
366212;PANEL EMP 6W NK RED 4000K 120mm;8426107446688;150;;;;
366213;-PANEL EMP 6W BL RED 420LU 120mm 2700K;8426107446671;0;;;No info / No hay informacion de fecha ni cantidad estimada;
366240;-PANEL EMP 24W BL CUA 1700LU 2700K LENEC;8426107005410;77;;;;
366241;-PANEL EMP 24W BL CUA 1800LU 4000K LENEC;8426107005427;6;;;;
370020;-EMPOTRABLE FLATFIX ROUND 12W 3000K;8426107370020;100;;;;
370024;-EMPOTRABLE FLATFIX ROUND 12W 4500K;8426107137012;16;;;;
370050;-EMPOTRABLE FLATFIX ROUND 15W 3000K;8426107370051;100;;;;
370054;-EMPOTRABLE FLATFIX ROUND 15W 4500K;8426107237002;82;;;;
370120;-EMPOTRABLE FLATFIX SQUARE 12W;8426107370129;51;;;;
377000;PLAFON LED RED CANVI 12-840-8CCT;8426107013682;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377001;PLAFON LED RED CANVI 18-1260-8CCT;8426107013699;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377002;PLAFON LED RED CANVI 24-1680-8CCT;8426107013705;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377003;PLAFON LED ROMB CANVI 12-900-8CCT;8426107013712;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377005;PLAFON LED CANVI ROMB 24-1800-8CCT;8426107013729;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377006;PLAFON LED CUA CANVI 12-840-8CCT;8426107013736;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377007;PLAFON LED CUA CANVI 18-1260-8CCT;8426107013743;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377008;PLAFON LED CUA CANVI 24-1680-8CCT;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377010;PLAFON LED RED CANVI 12-840-8CCT;8426107013798;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377011;PLAFON LED RED CANVI 18-1260-8CCT;8426107013804;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377012;PLAFON LED RED CANVI 24-1680-8CCT;8426107013811;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377013;PLAFON LED RED CHAN 12-800-8CCT;8426107013873;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377014;PLAFON LED RED CHAN 18-1200-8CCT;8426107013880;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377015;PLAFON LED RED CHAN 24-1600-8CCT;8426107013897;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377150;PLAFON RED BL 18-1440-8 ALI;8426107013903;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377151;PLAFON RED BL SENSOR 18-1440-8 ALI;8426107013910;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377152;PLAFON RED BL 18-1440-8CCT ALI;8426107013927;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377153;PLAFON RED BL SENSOR 18-1440-8CCT ALI;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377154;PLAFON RED BL 24-1920-8 ALI;8426107013941;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377155;PLAFON RED BL SENSOR 24-1920-8 ALI;;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377156;PLAFON RED BL 24-1920-8CCT ALI;8426107013958;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377157;PLAFON RED BL SENSOR 24-1920-8CCT ALI;8426107013965;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377160;EMPOTRABLE RED BL 6-330-8CCT SWITCH ALI;8426107013989;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377161;EMPOTRABLE RED BL 12-780-8CCT SWITCH ALI;8426107013996;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377162;EMP RED BL 16-1120-8CCT SWITCH ALI;8426107013972;0;;;No info / No hay informacion de fecha ni cantidad estimada;
377163;EMP RED BL 20-1600-8CCT SWITCH ALI;8426107014009;0;;;No info / No hay informacion de fecha ni cantidad estimada;
