Familia;Referencia;Descripción;Acabado;Fuente de luz; Precio
ASPEN;7028;Señalizador exterior LED  IP65;Negro Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;23,60
ASPEN;7029;Señalizador exterior LED  IP65;Blanco Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;23,60
ASPEN;7030;Señalizador exterior LED  IP65;Gris Oscuro;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;25,80
ASPEN;7031;Señalizador exterior LED  IP65;Negro Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;25,80
ASPEN;7032;Señalizador exterior LED  IP65;Blanco Arena;LED 3W - 3000K - 210 LMS - 220-240V~50/60Hz;25,80
ASTUN;6491;Linterna exterior;Grafito;LED 2.2W - 3000K - 187 LMS - DC 5V/1A;107,60
ASTUN;6905;Linterna exterior;Blanco;LED 2.2W - 3000K - 187 LMS - DC 5V/1A;107,60
ASTUN;6906;Linterna exterior;Blanco;LED 2.2W - 3000K - 187 LMS - DC 5V/1A;116,20
ASTUN;6907;Linterna exterior;Grafito;LED 2.2W - 3000K - 187 LMS - DC 5V/1A;116,20
ATLANTIS;6405;Empotrable  IP54;Blanco Mate;1 x GU10 (No Incl.);7,90
ATLANTIS;6406;Empotrable  IP54;aluminio Plata;1 x GU10 (No Incl.);7,90
AVORIAZ;1388;Sobremesa  IP65;Blanco;1 x E27 (No Incl.);71,40
AVORIAZ;1391;Bola Sobremesa/ Suelo  IP65;Blanco;1 x E27 (No Incl.);89,60
AVORIAZ;1394;Sobremesa  IP65;Blanco;1 x E27 (No Incl.);107,90
AVORIAZ;1397;Colgante  IP44;Blanco;1 x E27 (No Incl.);71,40
AVORIAZ;1398;Colgante  IP44;Blanco;1 x E27 (No Incl.);89,60
AVORIAZ;1399;Colgante  IP44;Blanco;1 x E27 (No Incl.);107,60
BACHELOR;7055;Plafón/Aplique exterior LED  IP65;Gris Oscuro;LED 14W - 3000K - 1180 LMS - 100-240V~50/60Hz;85,80
BACHELOR;7056;Plafón/Aplique exterior LED  IP65;Blanco;LED 14W - 3000K - 1180 LMS - 100-240V~50/60Hz;85,80
BAHIA;5170;Placa kit para 5234/5236;Níquel Satinado;;7,50
BAHIA;5171;Placa kit para 5233/5235;Bronce;;8,40
BAHIA;5232;Aplique  + LED Reader;Níquel Satinado;LED 3W - 4000K - 200 LMS - 100-240V~50/60Hz / 1 x E27 (No Incl.);115,00
BAHIA;5233;Aplique (Solo Cuerpo);Bronce;LED 3W - 4000K - 200 LMS - 100-240V~50/60Hz / 1 x E27 (No Incl.);83,00
BAHIA;5234;Aplique (Solo Cuerpo);Níquel Satinado;LED 3W - 4000K - 200 LMS - 100-240V~50/60Hz / 1 x E27 (No Incl.);87,90
BAHIA;5235;Aplique 1 Luz(Solo Cuerpo);Bronce;1 x E27 (No Incl.);42,42
BAHIA;5236;Aplique 1 Luz(Solo Cuerpo);Níquel Satinado;1 x E27 (No Incl.);37,10
BAHIA;5237;Pantalla Blanca Redonda;Blanco;;14,20
BAHIA;5238;Pantalla Negra Redonda;Negro;;14,20
BAHIA;5239;Pantalla Blanca Cuadrada;Blanco;;14,70
