ITEMID;CONFIGID;Stock;FECHAPROX;;;
685364UK;;6;;;;
685364UKR01;;37;9/5/20;;;
685372;;10;9/5/20;;;
685372UK;;10;9/5/20;;;
685483;;22;9/5/20;;;
685483UK;;22;9/5/20;;;
685497;;15;20/1/20;;;
685497UK;;17;;;;
687355;;13;;;;
689127;;52;9/5/20;;;
689253;;43;9/5/20;;;
689253D;;44;9/5/20;;;
689372;;6;;;;
689372D;;6;;;;
690217;;7;9/5/20;;;
691573;;13;;;;
692514R01;;0;;;;
692514R02;;5;9/5/20;;;
69441581;7608;41;9/5/20;;;
694931;;78;9/5/20;;;
695190;;18;17/1/20;;;
696252;;16;6/4/20;;;
696318;;30;9/5/20;;;
696427;;30;9/5/20;;;
697146;;29;;;;
697601;;21;;;;
697712;;114;8/5/20;;;
697825;;0;17/1/20;;;
697825UK;;1;;;;
697825UKR01;;19;;;;
697943;;10;20/1/20;;;
698426;;22;9/5/20;;;
698426UK;;22;9/5/20;;;
70101;;6;9/5/20;;;
70122;;5;9/5/20;;;
70155;;7;9/5/20;;;
70201;;4;9/5/20;;;
70302;;12;9/5/20;;;
70331000;;1;;;;
70350;;1;9/5/20;;;
70363;;;9/5/20;;;
