"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
27104908;34009;Barras para alargar ventilador Andros FARO;30;0.00;30,00;8421776116870
27104909;34006;Barras para alargar ventilador Andros FARO;0;25.40;30,00;
27509982;33508;Ventilador Lantau FARO acero aspa Nogal 108cm.?;30;0.00;389,50;8421776164291
27510437;33509;Ventilador Lantau FARO - acero aspas pino 108cm. ?;30;0.00;389,50;8421776164338
28297290;33720;Ventilador Keiki FARO. Ventilador Vintage ?43cm. Blanco;30;0.00;329,00;8421776166462
28465638;33430+33391;Ventilador Justfan FARO - Ventilador con luz LED 178cm.?;30;0.00;562,00;
28465643;33430;Ventilador Justfan FARO - marr?n. Motor DC. 178cm. ?;0;295.00;495,00;8421776167766
28468317;33512+33513;Ventilador Cies FARO - Ventilador con luz LED 210cm. ?;30;0.00;750,00;
28468319;33512;Ventilador Cies FARO - motor DC sin luz 210cm. ?;30;0.00;625,00;8421776166554
28468335;33782;Ventilador Meno FARO - sin luz 136cm. ?;30;0.00;199,00;8421776168978
28597616;33706;Ventilador Mediterraneo FARO - Ventilador niquel 81.5cm.?;30;0.00;145,00;8421776166455
28742671;33496;Ventilador Manhattan FARO 244cm - Ventilador grandes dimensiones;30;0.00;975,00;8421776167711
28758853;33722;Ventilador Nu FARO - Motor DC Iluminaci?n LED 132cm. ?;30;0.00;410,50;8421776168558
28758903;33514;Ventilador Izaro FARO - motor DC luz LED 132cm. ?;30;0.00;368,00;8421776167100
28761622;33723;Ventilador Komodo FARO Negro 81cm. ?;30;0.00;215,60;8421776168930
28799624;32100+33391;Ventilador Justfan Negro Faro + Kit de luz 128cm.?;30;0.00;530,40;8421776164475
28799649;32100;Ventilador JustFan Negro Faro Motor DC 128cm.?;30;0.00;463,40;8421776164475
28799863;33341+33341K;Ventilador Grid Faro - blanco + Kit de luz 132cm. ?;30;0.00;470,00;
28799936;33341;Ventilador Grid Faro - blanco motor DC 132cm. ?;30;0.00;395,00;8421776170087
