"idoxatis";"sku";"nombre";"stock";"pvpventa";"pvprecomendado";"ean"
30551319;773572;L?mpara colgante Elie Schuller - acabado cromo 5L. LED.;24;0.00;0,00;
30551360;394460;L?mpara colgante Taccia Schuller - acabado cromo 4L. LED.;9;0.00;0,00;
30556690;394318;L?mpara colgante Taccia Schuller - acabado cromo 1L. LED.;16;0.00;0,00;
30556744;394529;L?mpara colgante Taccia Schuller -  6 colgantes. LED.;33;0.00;0,00;
30556797;394647;L?mpara colgante Taccia Schuller - 38cm ?. 6L. LED.;10;0.00;0,00;
30561181;345381;L?mpara colgante Izar Schuller - negro cromo 4L. LED.;14;0.00;0,00;
30561274;584214;L?mpara colgante Nebula Schuller - 4 luces LED. Cromo;11;0.00;0,00;
30561288;584102;L?mpara colgante Nebula Schuller - 1 luz LED. Cromo;59;0.00;0,00;
30569922;281483;Plafon Laris Schuller - acabado cromo  43cm. ?. luz LED;109;0.00;0,00;
30570084;281096;Aplique pared Laris Schuller - acabado cromo  luz LED;53;0.00;0,00;
30570173;584659;Aplique pared Nebula Schuller - 1 luz LED. Cromo;4;0.00;0,00;
30570330;493826;L?mpara sobremesa Nebula Schuller - 1 luz LED. Cromo;83;0.00;0,00;
30570342;345509D;L?mpara colgante Altais Schuller - negro cromo 9L. LED. Con Mando;8;0.00;0,00;
30570343;345509;L?mpara colgante Altais Schuller - negro cromo 9L. LED.;8;0.00;0,00;
30570354;346810;L?mpara regleta Adame Schuller - negro y oro 3L. LED;17;0.00;0,00;
30570360;346028;L?mpara colgante Adame Schuller - Blanco y plata 1L. LED;117;0.00;0,00;
30570375;346766;L?mpara colgante Adame Schuller - Blanco y plata 3L. LED;25;0.00;0,00;
30570392;584438D;L?mpara colgante Nebula Schuller - 5 luces LED. Cromo;2;0.00;0,00;
30570393;584438;L?mpara colgante Nebula Schuller - 5 luces LED. Cromo;24;0.00;0,00;
30570412;346011;L?mpara colgante Adame Schuller - Negro y oro 1L. LED;35;0.00;0,00;
30570422;584541D;L?mpara colgante Nebula Schuller - 12 luces LED. Cromo;3;0.00;0,00;
30570423;584541;L?mpara colgante Nebula Schuller - 12 luces LED. Cromo;26;0.00;0,00;
