TemplateType=Offer	Version=2014.0703																																																																																																																																																																																																																																																														
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id																																																																																																																																																																																																																																													
015-100806	13.8	20	8426107004499	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100943	13.8	20	8426107004352	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101028	13.8	20	8426107006905	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100854	14	20	8426107712349	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100899	14	20	8426107852175	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101069	14	20	8426107258342	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101090	14	5	8426107007605	EAN	NEW									3																																																																																																																																																																																																																																																		
015-102027	14.36	5	8426107013842	EAN	NEW									3																																																																																																																																																																																																																																																		
015-210100	14.36	20	8426107013224	EAN	NEW									3																																																																																																																																																																																																																																																		
015-284310	14.36	20	8426107284310	EAN	NEW									3																																																																																																																																																																																																																																																		
015-100896	14.6	20	8426107782342	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101066	14.6	20	8426107852311	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101072	14.6	20	8426107258373	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101088	14.6	5	8426107007667	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111608	15.2	20	8426107016027	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111609	15.2	20	8426107016034	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111620	15.2	20	8426107016058	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111621	15.2	20	8426107016041	EAN	NEW									3																																																																																																																																																																																																																																																		
015-111624	15.2	20	8426107016065	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189002	15.8	20	8426107007001	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189003	15.8	20	8426107007018	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189024	15.8	20	8426107011077	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189029	15.8	5	8426107011084	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189030	15.8	20	8426107011091	EAN	NEW									3																																																																																																																																																																																																																																																		
015-189033	15.8	20	8426107011107	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101224	15.96	20	8426107242112	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101225	15.96	20	8426107225108	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101226	15.96	20	8426107226105	EAN	NEW									3																																																																																																																																																																																																																																																		
015-101250	15.96	20	8426107759757	EAN	NEW									3																																																																																																																																																																																																																																																		
