TemplateType=Offer	Version=2014.0703																	
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
sku	price	quantity	product-id	product-id-type	condition-type	condition-note	ASIN-hint	title	product-tax-code	operation-type	sale-price	sale-start-date	sale-end-date	leadtime-to-ship	launch-date	is-giftwrap-available	is-gift-message-available	fulfillment-center-id
057M-4735	68,24	32	8,43515E+12	EAN	NEW									3					
057M-6695	148,58	7	8,43515E+12	EAN	NEW									3					
057M-5000	106,63	5	8,43515E+12	EAN	NEW									3					
057M-0792	680,55	5	8,43515E+12	EAN	NEW									3					
057M-6310	606,75	7	8,43515E+12	EAN	NEW									3					
057M-4087	411,96	8	8,43515E+12	EAN	NEW									3					
057M-1907	315,89	2	8,43515E+12	EAN	NEW									3					
057M-5273	196,95	8	8,43515E+12	EAN	NEW									3					
057M-4490	400,35	5	8,43515E+12	EAN	NEW									3					
057M-1433	179,39	7	8,43515E+12	EAN	NEW									3					
057M-5713	36,76	29	8,43515E+12	EAN	NEW									3					
057M-1157	113,10	5	8,43515E+12	EAN	NEW									3					
057M-6007	492,68	12	8,43515E+12	EAN	NEW									3					
057M-1621	323,70	9	8,43515E+12	EAN	NEW									3					
057M-6317	66,89	29	8,43515E+12	EAN	NEW									3					
057M-5810	307,75	0	8,43515E+12	EAN	NEW									3					
057M-5361	242,96	2	8,43515E+12	EAN	NEW									3					
057M-6178	167,57	35	8,43515E+12	EAN	NEW									3					
057M-1150	173,55	6	8,43515E+12	EAN	NEW									3					
057M-1178	144,30	7	8,43515E+12	EAN	NEW									3					
057M-0953	44,85	2	8,43515E+12	EAN	NEW									3					
057M-0931	232,05	7	8,43515E+12	EAN	NEW									3					
057M-6171	224,71	12	8,43515E+12	EAN	NEW									3					
057M-1820	208,65	7	8,43515E+12	EAN	NEW									3					
057M-6290	550,68	10	8,43515E+12	EAN	NEW									3					
057M-5430	91,00	40	8,43515E+12	EAN	NEW									3					
057M-5831	307,09	10	8,43515E+12	EAN	NEW									3					
057M-1880	230,00	42	8,43515E+12	EAN	NEW									3					
057M-1821	173,55	4	8,43515E+12	EAN	NEW									3					
057M-5725	317,88	0	8,43515E+12	EAN	NEW									3					
057M-5381	320,37	0	8,43515E+12	EAN	NEW									3					
057M-3689	245,70	0	8,43515E+12	EAN	NEW									3					
057M-6005	107,98	4	8,43515E+12	EAN	NEW									3					
057M-6268	225,46	1	8,43515E+12	EAN	NEW									3					
057M-1159	239,85	6	8,43515E+12	EAN	NEW									3					
057M-1812	164,00	3	8,43515E+12	EAN	NEW									3					
057M-3702	66,30	17	8,43515E+12	EAN	NEW									3					
057M-3945	29,25	25	8,43515E+12	EAN	NEW									3					
057M-3547	58,50	0	8,43515E+12	EAN	NEW									3					
057M-5146	369,80	6	8,43515E+12	EAN	NEW									3					
057M-4487	393,28	10	8,43515E+12	EAN	NEW									3					
057M-0942	680,55	11	8,43515E+12	EAN	NEW									3					
057M-0934	118,96	7	8,43515E+12	EAN	NEW									3					
057M-5994	117,43	9	8,43515E+12	EAN	NEW									3					
057M-3530	245,70	8	8,43515E+12	EAN	NEW									3					
057M-4630	528,46	8	8,43515E+12	EAN	NEW									3					
057M-6591	292,00	9	8,43515E+12	EAN	NEW									3					
057M-5827	263,21	8	8,43515E+12	EAN	NEW									3					
057M-3889	313,95	34	8,43515E+12	EAN	NEW									3					
